Title,Period,Country,Classification,Description
Flower Study of a Lily of the Valley,19th - 20th Century,Russia,Miscellaneous,"This flower study resembles a stem of lily-of-the-valley. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Small and delicate, Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters."
White Flower,20th Century,United States,Painting,"O’Keeffe is best known for close-up flower subjects whose magnified forms fill the entire space of each canvas. Likely inspired by similar compositions in modern photography, these images are not only celebrations of natural forms, but also striking essays in abstract design. Although many critics interpreted O’Keeffe’s flower paintings as reflections of femininity in general and female sexuality in particular, the artist strongly opposed such readings. Throughout most of her career, she frequently attempted to persuade others to discuss her work without referring to her gender, writing on one occasion, “I have always been very annoyed at being referred to as a ‘woman artist’ rather than an ‘artist.’”"
Flower Study of an Anemone,20th Century,Russia,Miscellaneous,"This flower study depicts a wild anemone in bloom. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Small and delicate, Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters."
Flower Study of a Wild Rose,19th - 20th Century,Russia,Miscellaneous,"This delicate flower study resembles a stem of wild rose. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Small and delicate, Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters."
Flower Study of a Violet,19th - 20th Century,Russia,Miscellaneous,"This flower study depicts a single stem of violet. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Small and delicate, Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters."
Flower Study of a Pansy,19th - 20th Century,Russia,Miscellaneous,"This flower study depicts a pansy in bloom. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Small and delicate, Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters."
Flower Study of Forget-Me-Nots,19th - 20th Century,Russia,Miscellaneous,"These delicate flowers, resembling a bouquet of forget-me-nots, are composed of finely rounded turquoise stones set around rose-cut diamonds on silver-gilt stems placed in rock crystal pots. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters."
Flower Study of a Lowbush Cranberry or Lingonberry,19th - 20th Century,Russia,Miscellaneous,"This flower study depicts a lowbush cranberry or lingonberry. To achieve a naturalistic effect of ripening fruit, Fabergé varied the coloring of the berries. Some are made of chalcedony in hues of milky white to represent unripe berries, while others appear in deep reddish agate to represent ripe ones. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters."
Flower Study of a Miniature Lily of the Valley,19th - 20th Century,Russia,Miscellaneous,"A small, carved rock crystal vase holds this lily of the valley study. The pearls, forming the flower’s buds, are drilled and attached to the remarkably slim gold stem. The hand-cut nephrite (jade) leaves enhance the naturalistic aura of the flower. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana."
Royal Woman Holding a Flower,17th Century,Null,Painting,"Following the model of formal imperial Mughal court portraiture, the artist has lavished care on shading the face of a royal woman and the distinctive qualities of her luxurious textiles. Details have been exquisitely rendered, including the fringe of her pink shawl with its lotus vine border and the sprigs of flowers tucked in her hair."
"The Marsh Flower, a Sad Human Head",19th Century,France,Print,"This series is one of many that Odilon Redon created throughout his career. Nearly two-thirds of his lithographs took the form of portfolios—prints connected conceptually by a theme or narrative and physically by a folder or binding. Such works were often dispersed over time, but Cleveland was fortunate to acquire several complete sets with their original covers during the 1920s. Dating from Redon’s early experimentation with lithography, Homage to Goya was intended as a tribute to 18th-century Spanish master Francisco de Goya, whose interest in dreams and the subconscious influenced Redon. The six seemingly unrelated images celebrate Goya’s ambiguity and collectively suggest the introspection and isolation of artistic practice."
Vase with flower arrangement and scrollwork,18th Century,Null,Painting,"The symmetry of the floral arrangement emerging from the blue-and-white porcelain vase reveals an idealized vision. The overflowing vase is among the most ancient motifs in Indian art, used to convey the concept of abundance. This image, made for an elite patron of northern India, implies the prosperity that has accrued from international connections. The vase, painted with a European-style landscape, is of the type that was made in China for export to Europe. The scrolling ornament on either side may be ultimately derived from Persian motifs, but reworked into a European style, painted by Indian artists."
Flowers in a Glass,17th Century,Netherlands,Painting,"One of the first artists to specialize in flower painting, Ambrosius Bosschaert may have been inspired by the botanical gardens and scientific collections in his hometown of Middelburg. The flowers in this bouquet might be common today, but in the 1600s they were costly rarities. Bosschaert captured their fragile beauty with luminous colors and exquisite detail."
Flower Stand (Jardinière),19th Century,France,Furniture,"Thomire was the most productive and famous bronze caster in Paris around 1800. The border of this flower stand was cast from the same molds used for a centerpiece signed by Thomire; therefore, the stand can safely be presumed to have been produced by Thomire as well."
Vase of Flowers,20th Century,France,Drawing,"Inspired by Cleveland’s groundbreaking acquisitions of Odilon Redon’s artworks during the 1920s, local philanthropist and collector Leonard C. Hanna Jr. purchased this luminous pastel of a floral still life in 1937. Hanna acquired it from Jacques Seligmann, a dealer based in New York City and Paris who was fundamental in bringing 19th-century French art to American audiences. In 1939, Hanna loaned the pastel to the New York World’s Fair, where it represented Redon’s work. Those who saw it there were attracted to the vivid color and timeless subject, which preoccupied the artist at the end of his life."
Flower-shaped Mirror,12th Century,Null,Metalwork,"From ancient times, a mirror assumed various roles; a ritualistic tool, a diplomatic gift, and a luxury commodity. During the Goryeo dynasty (918-1392), which saw the great advancement of metallurgy, the royal court was the center of distributing sophisticated bronze artifacts. According to historical records, on the 7th day of the Lunar New Year, the king bestowed a bronze mirror inscribed with auspicious symbols upon each court official as part of a ceremony to celebrate the Day of Humans. This explains why a large quantity of bronze mirrors were excavated from elite tombs."
Flower Market,20th Century,Mexico,Print,"Following the Mexican Revolution, artists throughout the country began to create works that celebrated the country's history and future. In this print, Diego Rivera shows a gathering of figures in indigenous costume gathering to exchange flowers, suggesting Mexico's bounty. Such images formed an important statement about national identity at a time of constant change."
Flower Vase with Chrysanthemums,20th Century,Japan,Ceramics,"Seifū Yohei III (1851–1914) was a son of the Maruyama school painter Okada Ryōhei (dates unknown). Though he studied painting, he ultimately succeeded his ceramics mentor, Seifū Yohei II (1845–1878), in Kyoto. He distinguished himself as a remarkable porcelain artist, taking Qing dynasty Chinese wares as his inspiration. He experimented widely with new glazing techniques. In 1893, he became the first ceramicist to be appointed as an Imperial Household Artist under a system introduced by the Japanese government in 1890. He produced many works for use in Chinese-style tea gatherings called sencha."
Plate with Bird and Flower,20th Century,Null,Ceramics,"This dish is a sophisticated example of later ceramists reinterpreting earlier styles of Japanese porcelain. The colors and patterns used look similar to some works produced on the island of Kyushu in the1600s and 1700s. However, the idea to combine alternating blocks of yellow, green, purple, and blue with a ""Chinese grasses"" (karakusa) pattern around the rim of the dish is one hit upon in the early 1900s by an artist familiar with the colors and patterns of earlier works."
Covent Garden Flower Women,19th Century,England,Photograph,"Thomson’s collaborator, reporter Adolphe Smith said that “The familiar sight of a poor woman holding a pale child in her arms and offering modest violets to the pedestrian, is pregnant with a poetry which rags, and dirt fail to obliterate.” The jobs, which were passed down between generations, required worked long hours and yielded a meager income."
Flower Shade,20th Century,Japan,Calligraphy,"The calligraphy of poems still inspires many contemporary artists. Here, Ninomiya Hakuryu expressed his sensitive playfulness by writing the title of this work, Flower Shade, on a fan turned at a 90-degree angle and a haiku on the fan-shaped paper below."
Vase of Flowers,20th Century,France,Painting,"Known for his dark, velvety charcoal drawings and lithographs, Redon began working predominantly in oil and pastel after 1900, thus enlisting color in his explorations of the world of dreams and the imagination. Like other Symbolists, Redon searched for alternative experiences beyond the rational logic of Naturalism and Impressionism. He used his knowledge of botany as a starting point for this painting, but infused the flowers with heightened luminosity and sensuous form."
Flower Vase,16th Century,France,Ceramics,"Made as two separate elements, this extremely rare example of Saint-Porchaire ware may have been conceived primarily as a tour de force of decorative art."
Still Life: Bouquet of Flowers Emerging from the Grass,18th Century,Null,Painting,"Studies of flower arrangements in the European manner became a popular subject in Indian miniature painting during the reign of Mughal emperor Jahangir (reigned 1605–27). Inspired by imported prints, Indian artists rendered them in Mughal fashion. Here, in a painting made at a Rajasthani court, the entire bouquet grows magically out of the ground from a single stem."
A Young Woman Buying a Pink from a Young Man,18th Century,Italy,Drawing,"Giovanni Battista Piazzetta was celebrated for his finished drawings of saints, portraits, and teste di carattere (character heads). Cleveland’s sheet belongs to the latter genre, which describes portraits embellished with props to suggest a character type or types. Here, Piazzetta united three independent studies of individuals into a single scene, in which a young woman appears to purchase a pink—a type of flower related to the carnation—from a boy with a second young woman looking on.The image bristles with tantalizing narrative potential, but it is left to the viewer to interpret the scene as they wish. Drawings of this size and quality of finish were displayed on walls like paintings, rather than stored in portfolios, with the unfortunate consequence that the Venetian blue paper often faded to a grayish-tan as here. However, the virtuosity of Piazzetta’s technique endures on this sheet. His method of modeling—wetting and rubbing his black crayon rather than hatching—produces the density of tone and velvety shadow. Textural details are supplied by white chalk, evoking the silky weave of the boy’s shirt and the hard substance of the figures’ fingernails. Piazzetta's drawings were in high demand among affluent foreign visitors and helped to supplement his income."
Flower Vase with Phoenix in Paulownia,19th - 20th Century,Japan,Ceramics,"One of Seifū Yohei III’s most visually impactful techniques, seen in this work, was to combine complex low-relief designs in clay surrounded by diffused underglaze blue or pink, which he then covered with a transparent or translucent glaze. Yohei III also experimented with clay bodies ranging from bluish white to ivory combined with translucent cream-colored glazes. The atmospheric effects he achieved were considered remarkable."
Spring Flowers,19th Century,France,Painting,"This early work reveal's Monet's fascination with capturing the transitory effects that became the primary focus of his later innovations. Painted with almost scientific accuracy, this still life has a freshness and immediacy derived partly from its composition. Isolated against a dark background, the fully mature peonies, potted hydrangeas, and basketed lilacs spill downward and outward from the geraniums at the rear. At the same time, Monet's energetic brushwork conveys the sparkling play of light on leaves and petals."
Flower-shaped Mirror,12th - 13th Century,Null,Metalwork,"From ancient times, a mirror assumed various roles; a ritualistic tool, a diplomatic gift, and a luxury commodity. During the Goryeo dynasty (918-1392), which saw the great advancement of metallurgy, the royal court was the center of distributing sophisticated bronze artifacts. According to historical records, on the 7th day of the Lunar New Year, the king bestowed a bronze mirror inscribed with auspicious symbols upon each court official as part of a ceremony to celebrate the Day of Humans. This explains why a large quantity of bronze mirrors were excavated from elite tombs."
Morning Glory with Black,20th Century,United States,Painting,"O'Keeffe is best known for close-up flower subjects whose magnified forms fill the entire space of each canvas. Likely inspired by similar compositions in modern photography, these images are not only celebrations of nature, but also striking essays in abstract design. Although many critics interpreted O'Keeffe's flower paintings as reflections of femininity in general and female sexuality in particular, the artist strongly opposed such readings. Throughout most of her career, she frequently attempted to persuade others to discuss her work without referring to her gender, writing on one occasion, ""I have always been very annoyed at being referred to as a 'woman artist' rather than an 'artist.'"""
