Flower Name,Singular Form,Plural Form
Rose,Rose,Roses
Tulip,Tulip,Tulips
Lily,Lily,Lilies
Daisy,Daisy,Daisies
Sunflower,Sunflower,Sunflowers
Carnation,Carnation,Carnations
Peony,Peony,Peonies
Orchid,Orchid,Orchids
Daffodil,Daffodil,Daffodils
Iris,Iris,Irises
Hyacinth,Hyacinth,Hyacinths
Marigold,Marigold,Marigolds
Pansy,Pansy,Pansies
Poppy,Poppy,Poppies
Gerbera Daisy,Gerbera Daisy,Gerbera Daisies
Chrysanthemum,Chrysanthemum,Chrysanthemums
Lavender,Lavender,Lavenders
Zinnia,Zinnia,Zinnias
Crocus,Crocus,Crocuses
Bluebell,Bluebell,Bluebells
Primrose,Primrose,Primroses
Columbine,Columbine,Columbines
Gladiolus,Gladiolus,Gladioli
Anemone,Anemone,Anemones
Aster,Aster,Asters
Buttercup,Buttercup,Buttercups
Clematis,Clematis,Clematis
Dahlia,Dahlia,Dahlias
Foxglove,Foxglove,Foxgloves
Hibiscus,Hibiscus,Hibiscus
Jasmine,Jasmine,Jasmines
Lilac,Lilac,Lilacs
Magnolia,Magnolia,Magnolias
Narcissus,Narcissus,Narcissi
Petunia,Petunia,Petunias
Rhododendron,Rhododendron,Rhododendrons
Snapdragon,Snapdragon,Snapdragons
Dandelion,Dandelion,Dandelions
Violet,Violet,Violets
Hydrangea,Hydrangea,Hydrangeas
Dahlia,Dahlia,Dahlias
Begonia,Begonia,Begonias
Camellia,Camellia,Camellias
Cherry Blossom,Cherry Blossom,Cherry Blossoms
Dianthus,Dianthus,Dianthuses
Freesia,Freesia,Freesias
Geranium,Geranium,Geraniums
Hollyhock,Hollyhock,Hollyhocks
Lavender,Lavender,Lavenders
Larkspur,Larkspur,Larkspurs
Morning Glory,Morning Glory,Morning Glories
Nasturtium,Nasturtium,Nasturtiums
Poinsettia,Poinsettia,Poinsettias
Ranunculus,Ranunculus,Ranunculuses
Rhododendron,Rhododendron,Rhododendrons
Snowdrop,Snowdrop,Snowdrops
Statice,Statice,Statices
Verbena,Verbena,Verbenas
Wisteria,Wisteria,Wisterias
Yarrow,Yarrow,Yarrows
Allium,Allium,Alliums
Bleeding Heart,Bleeding Heart,Bleeding Hearts
Forget-me-not,Forget-me-not,Forget-me-nots
Fuchsia,Fuchsia,Fuchsias
Honeysuckle,Honeysuckle,Honeysuckles
Delphinium,Delphinium,Delphiniums
Coreopsis,Coreopsis,Coreopses
Liatris,Liatris,Liatrises
Balloon Flower,Balloon Flower,Balloon Flowers
Black-Eyed Susan,Black-Eyed Susan,Black-Eyed Susans
Bougainvillea,Bougainvillea,Bougainvilleas
Calla Lily,Calla Lily,Calla Lilies
Canna Lily,Canna Lily,Canna Lilies
Chrysanthemum,Chrysanthemum,Chrysanthemums
Coneflower,Coneflower,Coneflowers
Crocus,Crocus,Crocuses
Dahlia,Dahlia,Dahlias
Daisy,Daisy,Daisies
Echinacea,Echinacea,Echinaceas
Freesia,Freesia,Freesias
Gardenia,Gardenia,Gardenias
Gladiolus,Gladiolus,Gladioli
Heather,Heather,Heathers
Impatiens,Impatiens,Impatienses
Jonquil,Jonquil,Jonquils
Kalanchoe,Kalanchoe,Kalanchoes
Lilac,Lilac,Lilacs
Marigold,Marigold,Marigolds
Narcissus,Narcissus,Narcissi
Oleander,Oleander,Oleanders
Peony,Peony,Peonies
Petunia,Petunia,Petunias
Rose,Rose,Roses
Snapdragon,Snapdragon,Snapdragons
Sunflower,Sunflower,Sunflowers
Tulip,Tulip,Tulips
Violet,Violet,Violets
Zinnia,Zinnia,Zinnias
