Title,Country of Creation,Description,Type of Artwork
Flower Study of a Lily of the Valley,"Russia, St. Petersburg","DescriptionThis flower study resembles a stem of lily-of-the-valley. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Small and delicate, Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters.",Type of artwork: Miscellaneous
White Flower,"America, 20th century","DescriptionO’Keeffe is best known for close-up flower subjects whose magnified forms fill the entire space of each canvas. Likely inspired by similar compositions in modern photography, these images are not only celebrations of natural forms, but also striking essays in abstract design. Although many critics interpreted O’Keeffe’s flower paintings as reflections of femininity in general and female sexuality in particular, the artist strongly opposed such readings. Throughout most of her career, she frequently attempted to persuade others to discuss her work without referring to her gender, writing on one occasion, “I have always been very annoyed at being referred to as a ‘woman artist’ rather than an ‘artist.’”",Type of artwork: Painting
Flower Study of an Anemone,"Russia, St. Petersburg","DescriptionThis flower study depicts a wild anemone in bloom. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Small and delicate, Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters.",Type of artwork: Miscellaneous
Flower Study of a Wild Rose,"Russia, St. Petersburg","DescriptionThis delicate flower study resembles a stem of wild rose. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Small and delicate, Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters.",Type of artwork: Miscellaneous
Flower Study of a Pansy,"Russia, St. Petersburg","DescriptionThis flower study depicts a pansy in bloom. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Small and delicate, Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters.",Type of artwork: Miscellaneous
Flower Study of a Violet,"Russia, St. Petersburg","DescriptionThis flower study depicts a single stem of violet. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Small and delicate, Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters.",Type of artwork: Miscellaneous
Flower Study of Forget-Me-Nots,"Russia, St. Petersburg","DescriptionThese delicate flowers, resembling a bouquet of forget-me-nots, are composed of finely rounded turquoise stones set around rose-cut diamonds on silver-gilt stems placed in rock crystal pots. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters.",Type of artwork: Miscellaneous
Flower Study of a Lowbush Cranberry or Lingonberry,"Russia, St. Petersburg","DescriptionThis flower study depicts a lowbush cranberry or lingonberry. To achieve a naturalistic effect of ripening fruit, Fabergé varied the coloring of the berries. Some are made of chalcedony in hues of milky white to represent unripe berries, while others appear in deep reddish agate to represent ripe ones. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters.",Type of artwork: Miscellaneous
Flower Study of a Miniature Lily of the Valley,"Russia, St. Petersburg","DescriptionA small, carved rock crystal vase holds this lily of the valley study. The pearls, forming the flower’s buds, are drilled and attached to the remarkably slim gold stem. The hand-cut nephrite (jade) leaves enhance the naturalistic aura of the flower. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana.",Type of artwork: Miscellaneous
Royal Woman Holding a Flower,,"DescriptionFollowing the model of formal imperial Mughal court portraiture, the artist has lavished care on shading the face of a royal woman and the distinctive qualities of her luxurious textiles. Details have been exquisitely rendered, including the fringe of her pink shawl with its lotus vine border and the sprigs of flowers tucked in her hair.",Type of artwork: Painting
