Title,Country of Creation,Description,Type of Artwork
Vase of Flowers,"France, late 19th-early 20th Century","DescriptionKnown for his dark, velvety charcoal drawings and lithographs, Redon began working predominantly in oil and pastel after 1900, thus enlisting color in his explorations of the world of dreams and the imagination. Like other Symbolists, Redon searched for alternative experiences beyond the rational logic of Naturalism and Impressionism. He used his knowledge of botany as a starting point for this painting, but infused the flowers with heightened luminosity and sensuous form.",Type of artwork: Painting
Flowers in a Glass,Netherlands,"DescriptionOne of the first artists to specialize in flower painting, Ambrosius Bosschaert may have been inspired by the botanical gardens and scientific collections in his hometown of Middelburg. The flowers in this bouquet might be common today, but in the 1600s they were costly rarities. Bosschaert captured their fragile beauty with luminous colors and exquisite detail.",Type of artwork: Painting
Spring Flowers,"France, 19th century","DescriptionThis early work reveal's Monet's fascination with capturing the transitory effects that became the primary focus of his later innovations. Painted with almost scientific accuracy, this still life has a freshness and immediacy derived partly from its composition. Isolated against a dark background, the fully mature peonies, potted hydrangeas, and basketed lilacs spill downward and outward from the geraniums at the rear. At the same time, Monet's energetic brushwork conveys the sparkling play of light on leaves and petals.",Type of artwork: Painting
Flower Study of a Lily of the Valley,"Russia, St. Petersburg","DescriptionThis flower study resembles a stem of lily-of-the-valley. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Small and delicate, Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters.",Type of artwork: Miscellaneous
Vase of Flowers,"France, 20th century","DescriptionInspired by Cleveland’s groundbreaking acquisitions of Odilon Redon’s artworks during the 1920s, local philanthropist and collector Leonard C. Hanna Jr. purchased this luminous pastel of a floral still life in 1937. Hanna acquired it from Jacques Seligmann, a dealer based in New York City and Paris who was fundamental in bringing 19th-century French art to American audiences. In 1939, Hanna loaned the pastel to the New York World’s Fair, where it represented Redon’s work. Those who saw it there were attracted to the vivid color and timeless subject, which preoccupied the artist at the end of his life.",Type of artwork: Drawing
Ink Flowers,"China, Yuan dynasty","DescriptionZhao Zhong's flowers, each paired with a poem, echo the fine-style colored flowers of the academic tradition, but instead he used only ink. Fine lines define the contours of each plant, as well as the veins within each petal and leaf. Careful ink washes give subtle modeling to the forms. The combination of lily, narcissus, and peony is unusual as the three belong to no known seasonal or symbolic system popular in the fourteenth century. Zhao’s medical training may have influenced the selection. Powdered lilies, for example, were prescribed to dispel grief, while the bark of tree peony roots was used as a treatment for various blood disorders.",Type of artwork: Painting
White Flower,"America, 20th century","DescriptionO’Keeffe is best known for close-up flower subjects whose magnified forms fill the entire space of each canvas. Likely inspired by similar compositions in modern photography, these images are not only celebrations of natural forms, but also striking essays in abstract design. Although many critics interpreted O’Keeffe’s flower paintings as reflections of femininity in general and female sexuality in particular, the artist strongly opposed such readings. Throughout most of her career, she frequently attempted to persuade others to discuss her work without referring to her gender, writing on one occasion, “I have always been very annoyed at being referred to as a ‘woman artist’ rather than an ‘artist.’”",Type of artwork: Painting
Flower Study of an Anemone,"Russia, St. Petersburg","DescriptionThis flower study depicts a wild anemone in bloom. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Small and delicate, Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters.",Type of artwork: Miscellaneous
Birds and Flowers,"Japan, Momoyama period","DescriptionThe landscape depicted in this pair of screens follows a seasonal progression from right to left, starting with the blossoming plum of early spring and ending with late autumn peonies. A variety of smaller birds are positioned throughout the scene, and a trio of swimming ducks is bracketed by early summer irises and early autumn bellflowers at the center. While some raptors (birds of prey) terrorize a pheasant and an egret (a waterfowl) to the right, a peacock and peahen converse to the left. Hawks are associated with military prowess, while the peafowl suggest cultural prestige.",Type of artwork: Painting
Flower Study of a Wild Rose,"Russia, St. Petersburg","DescriptionThis delicate flower study resembles a stem of wild rose. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Small and delicate, Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters.",Type of artwork: Miscellaneous
Winter and Summer Flowers,"Japan, Momoyama period","DescriptionWhite camellias bloom behind a large pine in the right screen and blue morning glories creep through bamboo in the left screen of this composition. The mountains and bridge suggest a continuous landscape, but the paintings actually juxtapose flowers of winter and summer, with time progressing from right to left. Kaihō Yūshō painted similar landscapes for Zen temples in Kyoto.",Type of artwork: Painting
