Object ID,Object Title
436175,Basket of Flowers
436121,A Woman Seated beside a Vase of Flowers (Madame Paul Valpinçon?)
437112,Bouquet of Sunflowers
189534,Basket of flowers with garlands
189541,Vase of Flowers Resting on Foliate Scrolls
818215,[Young Woman Holding a Flower]
226246,Fleurs Tropicales et Palmiers (Tropical Flowers and Palm Trees)
744176,"Lithograph with designs for enameled watchcases with birds, butterflies, and branches with flowers and leaves"
206755,Seated goddess holding flowers (Flora?)
436524,Sunflowers
