objectid,accessionnum,title,displaydate,beginyear,endyear,visualbrowsertimespan,medium,attributioninverted,attribution,classification,visualbrowserclassification,wikidataid
52200,1970.17.56,Flowers in a Vase,c. 1910,1910,1910,1901 to 1925,oil on canvas,"Redon, Odilon",Odilon Redon,Painting,painting,Q20191371
164910,2014.18.2,Vase with Flowers,1920,1920,1920,1901 to 1925,oil on canvas,"Bonnard, Pierre",Pierre Bonnard,Painting,painting,Q20192343
1487,1942.9.327,"Plate with border of rounded hills within pointed arches with flowers between them; in the center, a wading bird between stylized plants",c. 1490/1525,1490,1525,1401 to 1500,tin-glazed earthenware (maiolica),Deruta or Possibly Gubbio 16th Century,Deruta or Possibly Gubbio 16th Century,Ceramic,decorative art,Q62131073
5777,1943.3.2616,The Flower Market,1892,1892,1892,1876 to 1900,etching,"Cameron, David Young",David Young Cameron,Print,print,Q64955432
9206,1943.3.6413,Girl with Flower,,1883,1962,1876 to 1900,lithograph,"Mestrovic, Ivan",Ivan Mestrovic,Print,print,Q65021261
10195,1943.3.7399,Flowers,1932,1932,1932,1926 to 1950,pen and black ink with colored chalk on blue paper,"Reiner, Imre",Imre Reiner,Drawing,drawing,Q64574807
10365,1943.3.7569,"Two Flowers, Vernis Mou",1890-1895,1890,1895,1876 to 1900,etching,"Roussel, Théodore",Théodore Roussel,Print,print,Q65025725
10395,1943.3.7599,A Flower,,1847,1926,1826 to 1850,drypoint,"Roussel, Théodore",Théodore Roussel,Print,print,Q65025756
11426,1943.3.8924,Cactus Flowers,,1880,1999,1876 to 1900,lithograph,"Fleming, Alexander Patrick",Alexander Patrick Fleming,Print,print,Q65018562
11973,1943.3.9456,First Book: Daphnis and Chloe Picking Flowers(Daphnis et Chloe rammassant des fleurs),published 1937,1937,1937,1926 to 1950,woodcut in red,"Maillol, Aristide",Aristide Maillol,Print,print,Q65018954
32944,1946.9.246,"The Gate of the Flowered Lintel, Toledo",1921,1921,1921,1901 to 1925,etching,"Smith, Jules André",Jules André Smith,Print,print,Q65080241
30598,1944.5.251,The Flower of Love (Die Blume der Liebe),1896,1896,1896,1876 to 1900,lithograph,"Munch, Edvard",Edvard Munch,Print,print,Q65019676
