Title,Period,Country,Latitude ,Longitude,World Bank Region,Classification,Description,Works per Country
Woman’s Formal Hat (Feng-Kuan),19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"Headdress of woven black satin strips covered with birds, flowers and other motifs modelled of kingfisher feathers, pearl,coral, tourmaline, and other beads. Cf.42.8.328,329",1350
Women’s Formal Hat (Feng-Kuan),19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"Headdress of woven strips of red velvet covered with phoenix and flowers modelled from kingfisher feathers, coral, pearl, tourmaline and other beads.",1350
Pair of shoes,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"Blue silk uppers with embroidered flowers in pink, white and blue; black silk soles; cotton lining",1350
Pair of scent pouches,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"Pair of pouches made of embroidery on canvas in stitch similar to petit-point, with pattern of leaves and flower spray on a background of fretwork made in two shades of blue. Drawn together at the top by yellow silk cords terminating in silk tassels.",1350
Card case (?),19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,Card case(?) of stiff material covered on the outside with satin and lined with silk damask. One side is embroidered with birds and flowers on a blue ground - the other with flowers and a bat on a light red gorund.,1350
Wedding hat,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"Headdress of woven black satin strips covered with flowers and birds modelled from kingfisher feathers, pearl, coral, and other beads. Headdresses of this type were worn by Manchu women of high rank. Cf.42.8.327,329",1350
Square shaped Collar,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"Square, shaped Collar of embroidered white brocaded silk. The design includes lotus and peony flowers and leaves, Buddhist, Daoist and other symbols, and landscape scenes, all done in the Peking Knot stitch in shades of blue, red, green, pink, yellow, brown, grey and tan. Border of black satin piped with blue. Lining of rose silk with figured ground. Soiled, and lining faded.",1350
Child's hat,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"Child's hat of black satin in red and black satin embroidered in knot stitch with flowere in shades of pink, blue, green and yellow. Hat in two stafes soft crown with stiff, fringed brim and a snood to which is attached, in back, a flap of the red satin, also embroidered with flowers. Applied to brim, a paeede satin flower. Soiled. Lining of diapered blue silk.",1350
Twelve Symbol Robe,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"Imperial 12-symbol robe of yellow k'ossu with nine five-clawed dragons in gold. In the field of spaced, sprawling clouds appear the 12 symbols, crimson bats carrying swastikas and the double peach and good luck characters. Border of slanting stripes topped with a tight regular band of clouds and two rows of billows in which appear Buddhist symbols, carp, and flowers. Band and cuffs of black k'ossu with motifs of the body. Sleeves of blistered medallion silk. Body slit at front, back and sides and lined with coarse yellow silk. The k'ossu is of inferior quality but the colors are good. The unusually short length of this robe indicates that it must have been made early in T'ung Chih's reign, while he was still a youth.",1350
Pair of Children's Shoes,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,blue ground with reverse applique and embroidery of stylized flowers,1350
Purse,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"bag body decorated by three bands of blue, green, white and red geometric flower designs; top of purse is dark blue and looks like an accordion; two pull strings attached to either side of top with carrying string coming from the top",1350
Head Band,20th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"black band with floral (five large pink, fuchsia and purple flowers) embroidery; fastened with continuous elastic cord",1350
Head Band,20th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,two black embroidered bands sewn together; design shows four Phoenix pairs and three pair large fuchsia flowers; each band has three bands on embroidery at each end,1350
Purse,20th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"solid blue back; two bands on either side of front with a batik patterning around central embroidered design of rows of flowers and geometric designs; shoulder strap of blue, black, white and green bands attached to tops of side bands",1350
Pair of Slippers,20th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"dark grey uppers, green soles sewn with white thread throughout; decoration includes large orange and maroon flower on front Gelatin followed by four sets down each side",1350
Apron,20th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,main part of apron is blue with banding and central panel at top and along top edge; three large pink and white flowers make up central design on orange field,1350
Vest,20th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"vest open along both sides, front and back held together by one cloth band with blue and black flower design; body field of black with embroidered bands along sides and central opening",1350
Apron,20th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"rectangular cloth folded in middle; when folded, the top of each flap is embroidered with fuchsia flowers; back side is made of light pink fabric with floral print; both flaps have blue tassels; tassels are white in the middle",1350
Apron,20th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"approximately 150 coins on strands of beads hung in a row just below band with ties; central black field with jagged border and three more bands around center alternating blue, yellow and blue field; three large flowers in upper border",1350
Apron,20th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"apron with fuchsia tassels attach by yellow, pink and green beads; blue ties and blue band at top; main body embroidered in fuchsia orange and green; back of apron from white fabric with printed pink and red flowers",1350
Apron,20th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,red waistband decorated with one horizontal band of embroidery showing fuchsia flowers and birds; green fabric of main body decorated with three large embroidered bands forming a squared 'U' shape; two bands on main body show birds and flowers,1350
Apron,20th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,waistband decorated with large unfinished band of embroidery showing four large flowers; main body of apron is made of black and is decorated with four bands of embroidery and ribbon is forming a squared 'U' shape,1350
Apron,20th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"waistband decorated with large band of embroidery showing geometric patterns in fuchsia, green, orange and purple; main body of black fabric decorated with three embroidered bands and ribbons forming a squared 'U' shape; large central band shows fuchsia flowers on blue ground",1350
Rat on persimmon,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,brown rat sitting on tan pillow shape with a leaf under its feet; branch & flower & two holes on bottom; other J #82,1350
Three chestnuts,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,three chestnuts with one flower,1350
Apron,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,"3 panels (one blue, undecorated) with 3 pairs of ties; top panel with green and black brocade ground, with dragons, insects and flowers embroidered on black; bottom panel with floral embroidery and sequins on black; red floral print pouch pocket",1350
