File,_ - accession_number,_ - artist,_ - title,_ - country,_ - dated,_ - description,_ - id,_ - style,_ - classification
677.json,43.31.3,,Two Youths under a Flowering Tree,Iran,1450,Miniature depicting two youths under a flowering tree. In the background a lavender hill with trees and a shrub with crimson flowers. One branch of the tree projects beyond the margin. Two columns of script below the painting and one passage inset at upper right.,http://api.artsmia.org/objects/677,15th century, Paintings
1321.json,56.9,Artist: James Ensor,"Vase of Flowers, formerly The Horticulturalist",Belgium,1883,Still life. Vase of flowers.,http://api.artsmia.org/objects/1321,19th century, Paintings
1947.json,72.82,Artist: Edouard Vuillard,Vase of Flowers,France,c. 1930,Vase of flowers on a table with sofa in the background,http://api.artsmia.org/objects/1947,20th century, Drawings
1960.json,73.15,Artist: Wilhelm Bormann,Girl with Flowers,Austria,c. 1915,"figure; cat. card dims H. 14', W. 13', D. 8'; NO PHOTO ON CAT. CARD",http://api.artsmia.org/objects/1960,20th century, Ceramics
2257.json,76.15.4,"Photographer: Lee Friedlander; Publisher: Graphicstudio, Tampa, Fla.","Chrysanthemums at Flower Market, Paris",United States,1972,,http://api.artsmia.org/objects/2257,20th century, Photographs
2341.json,76.72.15,Artist: Unknown Korean,Bowl with Stamped Comb Design and Flowers,Korea,15th century,"Mishima Bowl; all-over comb motif with five flowers in interior and band of flowers circling sides; pottery with grey glaze, stoneware",http://api.artsmia.org/objects/2341,15th century, Ceramics
2835.json,81.120.4,Photographer: Lewis Baltz,"Showflower Condominiums During Construction, Looking West",United States,1978,,http://api.artsmia.org/objects/2835,20th century, Photographs
2838.json,81.120.5,Photographer: Lewis Baltz,"Snowflower Condominiums During Construction, Looking East",United States,1978,,http://api.artsmia.org/objects/2838,20th century, Photographs
3331.json,85.12.1,Artist: Mianyi,Flower Painting,China,late 18th century,leaf from a small album of flower paintings; white daffodil-like flowers with yellow centers at right; fungus left of flowers; single column of calligraphy lower left with 2 red seals below,http://api.artsmia.org/objects/3331,18th century, Paintings
3544.json,87.18,Designer: Jack Lenor Larsen,Steppeflower,United States,1984,display length of warp printed and jacquard woven in Switzerland,http://api.artsmia.org/objects/3544,20th century, Textiles
3929.json,90.116,Artist: Christopher Dresser; Manufacturer: Wedgwood,Aquarian flower pot,England,c. 1873,,http://api.artsmia.org/objects/3929,19th century, Ceramics
4744.json,94.86.17,,Plate with fruits and flowers,China,c. 1780,deep blue band border gilt with stars outside a narrow red band; painted with fruit and flowers within blue and gilt frame,http://api.artsmia.org/objects/4744,18th century, Ceramics
4858.json,95.70.1,Painter: Nagasawa Roshū,Birds and flowers [left of a pair of Birds and Flowers],Japan,c. 1840,magnolia with a variety of small birds in and flying around its limbs and base,http://api.artsmia.org/objects/4858,19th century, Paintings
5064.json,96.36.8,,Flower brick,England,c. 1760,polychrome with chinoiserie design; on top two rows of three holes on either side of large central square opening; with scene of figures in an interior,http://api.artsmia.org/objects/5064,18th century, Ceramics
5589.json,98.144.33,Photographer: Paul Caponigro,"Sunflower, Winthrop, Massachusetts",United States,1965,,http://api.artsmia.org/objects/5589,20th century, Photographs
6636.json,2015.79.349,Artist: Kishimoto Kennin,Flower container,Japan,20th century,"irregular wedge-shaped form; deep incised lines and valleys; irregular hole near top on one side; dark gray, beige, and red-orange colored glazes",http://api.artsmia.org/objects/6636,20th century, Ceramics
6639.json,2015.79.379,Artist: Ikuta Susumu,"Bowl with butterflies, pine boughs, and flowers",Japan,1992,"bowl with scalloped edges; underglaze design of blue butterflies with blue flowers against green pine boughs; yellow chrysanthemum blossoms, blue flowers and foliage; tan grasshopper",http://api.artsmia.org/objects/6639,20th century, Ceramics
6651.json,2015.79.495,Artist: Unknown Korean,Flower-shaped dish,Korea,15th-16th century,"shallow white dish with gently scalloped edges; waving incised lines on outside, resembling lotus flower; pink spots",http://api.artsmia.org/objects/6651,15th-16th century, Ceramics
7368.json,"P.18,717",Artist: Maria Sibylla Merian,"Caterpillars, Butterflies and Flower",Germany,1705 (1705-1771),Plate 11,http://api.artsmia.org/objects/7368,18th century, Prints
7370.json,"P.18,724",Artist: After Maria Sibylla Merian; Engraver: Joseph Mulder,"Sphinx Moth, Larva, Pupa, and Flower",Netherlands,1705-1771,Plate 38,http://api.artsmia.org/objects/7370,18th century, Prints
7841.json,P.92.6.40.1,"Artist: Nicolas Africano; Publisher: Vermillion Editions Limited, Minneapolis",Flowers for Bill,United States,1988,Suite of 8 hand-colored lithographs housed in a beige linen and muslin gauze folding portfolio case with gray stamped lettering on the inside flap.,http://api.artsmia.org/objects/7841,20th century, Prints
7921.json,P.98.22.33,Artist: Edmond-François Aman-Jean,Sous les Fleurs (Under the Flowers),France,January 1898,see object file for complete description of contents,http://api.artsmia.org/objects/7921,19th century, Prints
8579.json,88.84,Artist: Shibata Zeshin,Flower Cart,Japan,19th century,,http://api.artsmia.org/objects/8579,19th century, Paintings
8623.json,74.1.158,Artist: Kitagawa Utamaro,Woman Making a Flower Arrangement,Japan,c. 1802,,http://api.artsmia.org/objects/8623,Nikuhitsu ukiyo-e, Paintings
8737.json,74.1.207,Artist: Katsushika Hokusai; Publisher: Nishimuraya Yohachi,Bellflower and Dragonfly,Japan,c. 1833-1834,,http://api.artsmia.org/objects/8737,19th century, Prints
8770.json,60.32,Artist: Abraham van Beyeren,Flowers in a Vase on a Ledge,Netherlands,17th century,Still life with flowers,http://api.artsmia.org/objects/8770,17th century, Paintings
8775.json,83.7,Artist: Georgius Jacobus Van Os,An Arrangement with Flowers,Netherlands,19th century,Varied floral arrangement in a white ceramic vase with putti; grey ground,http://api.artsmia.org/objects/8775,19th century, Paintings
8802.json,81.89,Artist: Unknown Japanese,Noh costume (nuihaku) with autumn flowers,Japan,mid 17th century,,http://api.artsmia.org/objects/8802,17th century, Clothing
8974.json,94.86.16,,Dessert plate with fruit and flowers,China,c. 1780,deep blue band border gilt with stars outside a narrow red band; painted with fruit and flowers within blue and gilt frame,http://api.artsmia.org/objects/8974,18th century, Ceramics
8975.json,94.86.18,,Dessert plate with fruits and flowers,China,c. 1780,deep blue band border gilt with stars outside a narrow red band; painted with fruit and flowers within blue and gilt frame,http://api.artsmia.org/objects/8975,18th century, Ceramics
8976.json,94.86.19,,Dessert Plate with fruits and flowers,China,c. 1780,deep blue band border gilt with stars outside a narrow red band; painted with fruit and flowers within blue and gilt frame,http://api.artsmia.org/objects/8976,18th century, Ceramics
9632.json,"P.17,946",Artist: John Edwards,"Flower Print No. 21: Damask Rose, No. 1; Rose de Meux, No. 2",England,"September 1, 1787",,http://api.artsmia.org/objects/9632,18th century, Prints
9836.json,99.147.2.1,,Flower bowl or centerpiece,Mexico,c. 1929-1930,Bowl with eight hammered lobes; alternating lobes have impressed floral design; two applied floral and leaf handles; applied hammered foot,http://api.artsmia.org/objects/9836,20th century, Metalwork
9940.json,98.150.14,Designer: Howard Carter; Manufacturer: Heal's Fabrics,Sunflower,England,1962,"2-1/3 repeats; bkg. ecru; sunflowers motifs black, brown, dark and light green",http://api.artsmia.org/objects/9940,20th century, Textiles
10327.json,74.1.34,Painter: Tamura Suiō,Standing prostitute wearing a kimono with wave and flower pattern,Japan,c. 1715,,http://api.artsmia.org/objects/10327,Nikuhitsu ukiyo-e, Paintings
10335.json,81.2.7.2,Artist: Shibata Zeshin,Flower Studies [one of a pair],Japan,second half 19th century,,http://api.artsmia.org/objects/10335,19th century, Paintings
10429.json,95.70.2,Painter: Nagasawa Roshū,Peacock and flowers [right of a pair of Birds and Flowers],Japan,c. 1840,peacock standing on rock with wild roses growing behind,http://api.artsmia.org/objects/10429,19th century, Paintings
10445.json,66.25.171,Artist: Attributed to Maria Sibylla Merian,Metamorphosis of a Frog and Blue Flower,Germany,c. 1701-1705,,http://api.artsmia.org/objects/10445,17th-18th century, Drawings; Works on Paper
10709.json,88.44.27,Photographer: Adolf Fassbender,Flowering Quince,United States,20th century,white draped fabric and pitcher to right; branches with white blossoms in pitcher; small glass box to left of pitcher.,http://api.artsmia.org/objects/10709,20th century, Photographs
11310.json,88.8.2,Photographer: Jane L. Calvin,Untitled [broken glass and flowers],United States,1987,broken glass and flowers,http://api.artsmia.org/objects/11310,20th century, Photographs
11430.json,87.94.42,"Photographer: Larry Clark; Publisher: RFG Publishing, Inc., New York",Untitled (woman with flowers),United States,1971,,http://api.artsmia.org/objects/11430,20th century, Photographs
12626.json,17.156,,Cylindrical Flower Jar,Turkey,18th century,cylindrical flower jar hole through bottom; poorly glazed polychrome floral design; badly broken and mended,http://api.artsmia.org/objects/12626,18th century, Ceramics
12754.json,2000.110.8,Photographer: Nancy Rexroth,"Pillars and Flowers, Manassas, Virginia",United States,1971,small house with a 2nd floor central balcony supported by 2 wide columns with peeling paint; flower pots on a pedestal in front of and between columns,http://api.artsmia.org/objects/12754,20th century, Photographs
12797.json,2000.186.1,"Artist: Andy Warhol; Publisher: Factory Additions, New York; Printer: Aetna Silkscreen Products, New York",Flowers,United States,1970,"From suite of 10 color screenprints; background color: pink; flower color clockwise direction: yellow, orange, blue",http://api.artsmia.org/objects/12797,20th century, Prints
12833.json,2000.163.1.1,Decorator: William Barrum; Artist: C. H. Brannam,"Vase with Birds and Flowers, one of a pair",England,1888,"brown and blue-grey glaze with sgraffito decoration of 3 birds and flowers around body of vase with geometric and floral band above and below; rounded body, long neck",http://api.artsmia.org/objects/12833,19th century, Ceramics
12834.json,2000.163.1.2,Decorator: William Barrum,"Vase with Birds and Flowers, one of a pair",England,1888,"brown and blue-grey glaze with sgraffito decoration of 3 birds and flowers around body of vase with geometric and floral band above and below; rounded body, long neck",http://api.artsmia.org/objects/12834,19th century, Ceramics
14727.json,27.41.258,,Panel with Embroidered Flowers and Butterflies,China,20th century,Long narrow silk border. Tan silk elaborately embroidered with floral and butterfly motives finished with darker band of blue embroidery.,http://api.artsmia.org/objects/14727,20th century, Textiles
18356.json,61.13,Artist: Alexander Brook,Vase of Flowers,United States,20th century,Still Life - bouquet of flowers in a pitcher/vase.,http://api.artsmia.org/objects/18356,20th century, Paintings
18773.json,64.65.39,,Untitled [flower arrangement],China,c. 1830,"one of twelve paintings of flower arrangements in an oblong folio book bound in silk; flowers resemble petunias, lilies, peony and chrysanthemum in blue, orange, red and white respectively; vase has a woven basket-like appearance, trapezoid shape with gold handle; flowers on side of vase; blue and red tassel attached to bottom of vase",http://api.artsmia.org/objects/18773,19th century, Paintings
18952.json,66.25.144,Artist: Pauline de Coulogne,Bouquet of Flowers,Austria (?),early 19th century (?),,http://api.artsmia.org/objects/18952,19th century, Drawings
18959.json,66.25.143,Artist: Röll,Study of an Iris and White Flowers,Austria (?),1800-1833,,http://api.artsmia.org/objects/18959,19th century, Drawings
18984.json,66.25.175,Artist: Attributed to William Hopwood,Two Women with Flower Basket,England (?),c. 1810,,http://api.artsmia.org/objects/18984,19th century, Drawings
18356.json,61.13,Artist: Alexander Brook,Vase of Flowers,United States,20th century,Still Life - bouquet of flowers in a pitcher/vase.,http://api.artsmia.org/objects/18356,20th century, Paintings
18773.json,64.65.39,,Untitled [flower arrangement],China,c. 1830,"one of twelve paintings of flower arrangements in an oblong folio book bound in silk; flowers resemble petunias, lilies, peony and chrysanthemum in blue, orange, red and white respectively; vase has a woven basket-like appearance, trapezoid shape with gold handle; flowers on side of vase; blue and red tassel attached to bottom of vase",http://api.artsmia.org/objects/18773,19th century, Paintings
18952.json,66.25.144,Artist: Pauline de Coulogne,Bouquet of Flowers,Austria (?),early 19th century (?),,http://api.artsmia.org/objects/18952,19th century, Drawings
18959.json,66.25.143,Artist: Röll,Study of an Iris and White Flowers,Austria (?),1800-1833,,http://api.artsmia.org/objects/18959,19th century, Drawings
18984.json,66.25.175,Artist: Attributed to William Hopwood,Two Women with Flower Basket,England (?),c. 1810,,http://api.artsmia.org/objects/18984,19th century, Drawings
19026.json,66.25.121,,Flower Studies with Cornucopia Still Life (Tab: No. 11),Netherlands (?),18th century,,http://api.artsmia.org/objects/19026,18th century, Drawings
19027.json,66.25.122,,Flower Studies with Insects (Tab: No. 12),Netherlands (?),18th century (?),,http://api.artsmia.org/objects/19027,18th century (?), Drawings
