Title,Country,Period,Classification
Flower,Null,Date Unknown,Paintings
The Flower Girl,Null,Date Unknown,Not Assigned
"Nydia, the Blind Flower Girl of Pompeii",Null,Date Unknown,Not Assigned
Terracotta kylix (drinking cup) with flower,Greece,16th - 12th Century BCE,Vases
Gold flower,Greece,32nd - 12th Century BCE,Gold and Silver
Flower Pot,China,Date Unknown,Not Assigned
Flower Pot,China,Date Unknown,Not Assigned
A Woman Seated beside a Vase of Flowers (Madame Paul Valpinçon?),Null,Date Unknown,Paintings
Flower Pot,Mexico,Date Unknown,Not Assigned
Flower Pot,Mexico,Date Unknown,Not Assigned
Flower Pot,Mexico,Date Unknown,Not Assigned
Flower Holder,United States,Date Unknown,Not Assigned
Flower stand,Null,Date Unknown,Pottery
Flower Pot,China,14th - 17th Century,Ceramics
Flower,Null,Date Unknown,Paintings
Flower,Null,Date Unknown,Paintings
Flower,Null,Date Unknown,Paintings
Flower,Null,Date Unknown,Paintings
The blue flower,Null,Date Unknown,Not Assigned
Flower Vessel,Japan,12th - 14th Century,Metalwork
Flower of the dusk,Null,Date Unknown,Not Assigned
Flower Seller,Null,Date Unknown,Ceramics
Flower vase,China,12th - 13th Century,Metalwork
Lotus Flower Inlay,Egypt,14th Century BCE,Not Assigned
Flower bouquet,Egypt,21st - 18th Century BCE,Not Assigned
Model Lotus Flower,Egypt,21st - 18th Century BCE,Not Assigned
Model Lotus Flower,Egypt,21st - 18th Century BCE,Not Assigned
"Flower Garden and Bungalow, Bermuda",Null,Date Unknown,Not Assigned
Rectangular tray with flowering plums and birds,China,13th - 17th Century,Lacquer
Cactus flower vase,Null,Date Unknown,Ceramics
Flower ornament,Egypt,21st - 18th Century BCE,Not Assigned
Hexagonal flower vase,Japan,20th Century,Ceramics
Mold for Conventional Flower,Egypt,14th Century BCE,Not Assigned
Mold for Conventional Flower Pendant,Egypt,14th Century BCE,Not Assigned
Pendant of flower,Egypt,21st - 16th Century BCE,Not Assigned
Barrel-shaped Flower Pot,Mexico,Date Unknown,Not Assigned
Book of Flower Studies,France,Date Unknown,Manuscripts and Illuminations
Vase with lotus flower,United States,Date Unknown,Not Assigned
Box and Lid with Flower,Null,Date Unknown,Sculpture
Album of Flower Paintings,Iran,Date Unknown,Codices
Lotus Flower Pendant,Egypt,14th Century BCE,Not Assigned
Man Seen by a Flower,Null,Date Unknown,Sculpture
Lotus Flower Architectural Decoration,Egypt,16th - 11th Century BCE,Not Assigned
Lotus flower for attachment,Egypt,16th - 11th Century BCE,Not Assigned
2 Lotus flower pendants,Egypt,21st - 16th Century BCE,Not Assigned
Scarab with a Crocodile Headed Figure Holding a Flower,Canaan,18th - 16th Century BCE,Not Assigned
Small Flask with Flower Decoration,Egypt,16th - 11th Century BCE,Not Assigned
Cosmetic dish in the shape of a lotus flower and buds,Egypt,13th - 11th Century BCE,Not Assigned
"Mold for Flower Pendant, composite lotus and palmette",Egypt,16th - 11th Century BCE,Not Assigned
Scarab with Crucifom Lotus Flower Decoration,Egypt,21st - 18th Century BCE,Not Assigned
Scarab Decorated with a Lotus Flower,Egypt,16th - 11th Century BCE,Not Assigned
Pair of Flower Style Doors,India,Date Unknown,Woodwork
Box Lid with a Flower Bud,Null,Date Unknown,Sculpture
Scarab Incised with Circles and Lotus Flowers,Egypt,21st - 18th Century BCE,Not Assigned
"Mahasiddha, Possibly Campaka, the Flower King",Null,Date Unknown,Sculpture
Flower vase (cuvette à tombeau),Null,Date Unknown,Ceramics
Gilt terracotta wreath with flowers and berries,Greece,4th - 1st Century BCE,Terracottas
Flower-shaped pendant,Egypt,13th - 11th Century BCE,Not Assigned
Flower-shaped pendant,Egypt,13th - 11th Century BCE,Not Assigned
Flower-shaped pendant,Egypt,13th - 11th Century BCE,Not Assigned
Flower-shaped pendant,Egypt,13th - 11th Century BCE,Not Assigned
Flower-shaped pendant,Egypt,13th - 11th Century BCE,Not Assigned
Flower-shaped pendant,Egypt,13th - 11th Century BCE,Not Assigned
Scarab with Hieroglyphs and Flowers,Egypt,11th - 7th Century BCE,Not Assigned
Porcelain flower (one of a set of nine),Null,Date Unknown,Ceramics
Porcelain flower (one of a set of nine),Null,Date Unknown,Ceramics
Scarab Incised with Hierolgyphs and Flower in Circle Border,Egypt,18th - 16th Century BCE,Not Assigned
Porcelain flower (one of a set of nine),Null,Date Unknown,Ceramics
Porcelain flower (one of a set of nine),Null,Date Unknown,Ceramics
Porcelain flower (one of a set of nine),Null,Date Unknown,Ceramics
Porcelain flower (one of a set of nine),Null,Date Unknown,Ceramics
Porcelain flower (one of a set of nine),Null,Date Unknown,Ceramics
Porcelain flower (one of a set of nine),Null,Date Unknown,Ceramics
Porcelain flower (one of a set of nine),Null,Date Unknown,Ceramics
Fruit or flower basket (corbeille aux cygnes),Null,Date Unknown,Ceramics
Flower vase (cuvette à fleurs Courteille) (one of a pair),Null,Date Unknown,Ceramics
Tile with water flowers in a canal,Egypt,13th - 11th Century BCE,Not Assigned
Gold earring with carnelian lotos flower pendant,Null,Date Unknown,Gold and Silver
Poppies and Cornflowers,Egypt,14th Century BCE,Not Assigned
Gold earring with lotos flower pendant,Null,Date Unknown,Gold and Silver
Gold earring with carnelian lotos flower pendant,Null,Date Unknown,Gold and Silver
Writing Box with Lattice and Flower Design,India,Date Unknown,Metal
Head of a Crozier with a Serpent Devouring a Flower,France,Date Unknown,Enamels
Monthly flower cup (from set of twelve),China,17th Century,Ceramics
Sword guard (<i>Tsuba</i>) With Flower Basket Motif (花籠透鐔),Japan,Date Unknown,Sword Furniture-Tsuba
Sword guard (<i>Tsuba</i>) With Flower Basket Motif (花籠透鐔),Japan,Date Unknown,Sword Furniture-Tsuba
Box in the shape of a flower,China,17th - 20th Century,Metalwork
"Limestone statue fragment of a right hand with a bracelet, holding a flower",Greece,4th Century BCE,Sculpture
Mirror in the shape of an eight-lobed flower,China,7th - 10th Century,Mirrors
Miniature vase in form of a cactus flower,Null,Date Unknown,Ceramics
Small Flask with Flower Decoration,Egypt,16th - 11th Century BCE,Not Assigned
Cup on a Stand with Flower Décor,Egypt,16th - 11th Century BCE,Not Assigned
Dish in the shape of a chrysanthemum flower,China,17th - 20th Century,Jade
Dish in the shape of a chrysanthemum flower,India,16th - 19th Century,Jade
Dish in the shape of a chrysanthemum flower,China,17th - 20th Century,Jade
Monthly flower cup (from set of twelve),China,17th Century,Ceramics
Flower-shaped bead,Greece,7th - 5th Century,Amber
Flower vase (cuvette à fleurs Courteille) (one of a pair),Null,Date Unknown,Ceramics
Vase in the shape of a flower,China,12th - 13th Century,Ceramics
Shallow bowl in the shape of a flower,India,16th - 19th Century,Jade
Bowl in the shape of a chrysanthemum flower,India,16th - 19th Century,Jade
