Title,Country,Period,Classification,_ - description
Two Youths under a Flowering Tree,Iran,15th Century,Paintings,Miniature depicting two youths under a flowering tree. In the background a lavender hill with trees and a shrub with crimson flowers. One branch of the tree projects beyond the margin. Two columns of script below the painting and one passage inset at upper right.
"Vase of Flowers, formerly The Horticulturalist",Belgium,19th Century,Paintings,Still life. Vase of flowers.
Vase of Flowers,France,20th Century,Drawings,Vase of flowers on a table with sofa in the background
Girl with Flowers,Austria,20th Century,Ceramics,"figure; cat. card dims H. 14', W. 13', D. 8'; NO PHOTO ON CAT. CARD"
"Chrysanthemums at Flower Market, Paris",United States,20th Century,Photographs,
Bowl with Stamped Comb Design and Flowers,Korea,15th Century,Ceramics,"Mishima Bowl; all-over comb motif with five flowers in interior and band of flowers circling sides; pottery with grey glaze, stoneware"
"Showflower Condominiums During Construction, Looking West",United States,20th Century,Photographs,
"Snowflower Condominiums During Construction, Looking East",United States,20th Century,Photographs,
Flower Painting,China,18th Century,Paintings,leaf from a small album of flower paintings; white daffodil-like flowers with yellow centers at right; fungus left of flowers; single column of calligraphy lower left with 2 red seals below
Steppeflower,United States,20th Century,Textiles,display length of warp printed and jacquard woven in Switzerland
Aquarian flower pot,England,19th Century,Ceramics,
Plate with fruits and flowers,China,18th Century,Ceramics,deep blue band border gilt with stars outside a narrow red band; painted with fruit and flowers within blue and gilt frame
Birds and flowers [left of a pair of Birds and Flowers],Japan,19th Century,Paintings,magnolia with a variety of small birds in and flying around its limbs and base
Flower brick,England,18th Century,Ceramics,polychrome with chinoiserie design; on top two rows of three holes on either side of large central square opening; with scene of figures in an interior
"Sunflower, Winthrop, Massachusetts",United States,20th Century,Photographs,
Flower container,Japan,20th Century,Ceramics,"irregular wedge-shaped form; deep incised lines and valleys; irregular hole near top on one side; dark gray, beige, and red-orange colored glazes"
"Bowl with butterflies, pine boughs, and flowers",Japan,20th Century,Ceramics,"bowl with scalloped edges; underglaze design of blue butterflies with blue flowers against green pine boughs; yellow chrysanthemum blossoms, blue flowers and foliage; tan grasshopper"
Flower-shaped dish,Korea,15th - 16th Century,Ceramics,"shallow white dish with gently scalloped edges; waving incised lines on outside, resembling lotus flower; pink spots"
Funerary papyrus,Egypt,11th - 8th Century BCE,Paintings,"Third Intermediate Period. Fragment of the funerary papyrus of the Priest of Amon, Jekhonsefonkh: There are two scenes, both perhaps incomplete. The accompanying text is lost. A: At the right of the fragment is the god Osiris, a mummiform figure, enthroned, wearing the white crown of Upper Egypt and carrying his usual attributes, a scepter in the form of the shepherd's crook and the whip. Above is a legend of three vertical lines reading in order from right to left: ""May Osiris, Lord of Eternity, First of the Westerners (i.e. the beatified dead) grant a nysut dy hotep (funerary offerings; literally ""an offering which the king gives""). Before the god are numerous offerings, among which one may distinguish loaves of bread, a bunch of onions, a cut of meat, grapes and lotus flowers. Standing before the god and holding a jar of milk (to judge by the form of the jar--that regularly used to contain milk and used as a hieroglyph--""milk"") is the deceased, the person for whose benefit the papyrus was inscribed and decorated and in whose tomb it was preserved to modern times. His head is shorn as befitted a priest and he wears an elaborate costume of thin, white linen. Above in the legend, read from left to right: ""the wab-priest-in-front-of-Amon, Jekhonsefonkh, beatified."" B: At the right of the left-hand scene, Jekhonsefonkh is seen again; one hand is held by a lioness-headed goddess, who turns to look into his face, his other hand is raised in the ritualistic gesture expressing adoration. The identifying legend above the priest's figure is the same as in A. The goddess is not named and may be any one of a number of lioness-headed divinities of whom the most important is Sekhmet. Apparently the goddess is presenting the deceased to an assembly of the weird beings who people the Netherworld. Unfortunately, for the most part, their names are not recorded; instead, in every available space, Osiris, Lord of Eternity, etc. (various epithets) is called on ""to grant funerary offerings."""
Rose of Sharon quilt,United States,19th Century,Textiles,16 blocks of hand appliqued red flowers with printed centers and green leaves; borders are scrolling foliage with appliqued and embroidered birds and flowers; white backing
Scenic Beauty Along Rivers and Mountains,China,17th Century,Paintings,"continuous landscape in mountains with river; buildings, small figures and flowering trees throughout; several boats on river"
Ovoid Bottle,China,12th Century,Ceramics,"brown glaze; wide shoulder with short narrow neck; 4 bands of cut away (sgraffiato) decoration (from top) leafy scroll, key-fret, floral with twisting vines, stylized leaves and flowers; has fitted blue box"
Edging,Italy,16th - 17th Century,Textiles,"A border with nine scalloped edges, of russet colored thread, embroidered with gold thread and various colored silks in flowers, birds and ornato. Design complete with two ends."
Bowl,Germany,18th Century,Ceramics,"Bowl, ceramic, cat. card dims H 3-1/8 x diam 6-5/8' Two panel scene of ships landing in cloosed in border of gold with lavender sprays of flowers between; shipping scene in purple in bottom."
Snuff Bottle,China,18th - 19th Century,"Tools, Equipment, and Utilitarian Objects",cloisonne top; geometric flower design on light blue ground. (27.1.79 and 27.1.80 are a pair).
Vase,Turkey,16th Century,Ceramics,"Vase with low base-rim, wide rounded body and tall,thin, flaring neck. It is covered with white opaque glaze and decorated with symetrical floral pattern with deep blue curving stems, turquoise tiny leaves and tomato red pinks, 5 petaled round flowers and conventionalized floral forms."
